DATE,VALUES,RETURNS
20200506,1.018986407,0.018986407
20200507,1.035721908,0.016423675
20200508,1.036533887,0.000783973
20200511,1.038744911,0.002133094
20200512,1.037547411,-0.001152834
20200513,1.020616266,-0.01631843
20200514,1.012164784,-0.008280763
20200515,1.0038002,-0.008264054
20200518,1.009395239,0.005573858
20200519,1.016051607,0.006594412
20200520,1.023769251,0.007595721
20200521,1.031187122,0.007245647
20200522,1.049749744,0.018001216
20200525,1.036949488,-0.012193627
20200526,1.021927885,-0.01448634
20200527,1.019835857,-0.002047139
20200528,1.031141037,0.011085294
20200529,1.025628942,-0.005345626
20200601,1.048956504,0.02274464
20200602,1.05682689,0.007503062
20200603,1.05775415,0.0008774
20200604,1.074643453,0.015967135
20200605,1.082302933,0.007127462
20200608,1.094914852,0.011652855
20200609,1.089830584,-0.004643528
20200610,1.081355804,-0.007776237
20200611,1.094860925,0.012489063
20200612,1.114721719,0.018140016
20200615,1.117561529,0.00254755
20200616,1.100878349,-0.014928198
20200617,1.082989788,-0.016249353
20200618,1.076996712,-0.005533825
20200619,1.075573967,-0.00132103
20200622,1.070635224,-0.004591728
20200623,1.047638404,-0.021479603
20200624,1.008569435,-0.037292418
20200629,0.97746668,-0.030838486
20200630,0.961712952,-0.016116895
